source_id,ra,dec,reference_class,SEDplot_efficientnet_b0,SEDplot_efficientnet_v2_s,SEDplot_mnasnet0_5,SEDplot_mobilenet_v3_small,SEDplot_regnet_y_400mf,SEDplot_resnet18,SEDplot_resnet50,SEDplot_resnext50_32x4d,SEDplot_shufflenet_v2_x0_5,SEDplot_squeezenet1_1,SEDplot_custom_resnet,SEDplot_custom_rca,SEDplot_n_models,SEDplot_status,SEDplot_votes,SEDplot_classification
BP Tau,64.81597493,29.10747971,YSO,0.9799455404281616,0.9827706813812256,0.9716192483901978,0.9645870923995972,0.9601030945777892,0.984992504119873,0.9780330657958984,0.9920726418495178,0.992238461971283,0.9930323362350464,1.0,1.0,12,complete,12,YSO
CI Tau,68.46672665,22.8416928,YSO,0.9817922711372375,0.9766584038734436,0.9665918350219728,0.9773268103599548,0.962632179260254,0.9731565117836,0.991480827331543,0.9710472226142884,0.9916679263114928,0.9949743747711182,1.0,1.0,12,complete,12,YSO
DL Tau,68.41281987,25.34391705,YSO,0.9789477586746216,0.9792613387107848,0.9745489954948424,0.9725760817527772,0.9688072204589844,0.9679353833198548,0.9783099889755248,0.9728546142578124,0.984808087348938,0.9957203269004822,0.9999990463256836,0.9999994039535522,12,complete,12,YSO
DR Tau,71.77589648,16.97855941,YSO,0.9734827280044556,0.9766262173652648,0.9771924614906312,0.969748318195343,0.9630687236785888,0.9674078226089478,0.9538727402687072,0.996369481086731,0.997752606868744,0.9978564381599426,1.0,1.0,12,complete,12,YSO
DN Tau,68.86407343,24.24969732,YSO,0.9774247407913208,0.9809033274650574,0.968512237071991,0.9662250876426696,0.9709914922714232,0.9814592599868774,0.9777501225471495,0.9888257384300232,0.9917773008346558,0.9943488240242004,1.0,1.0,12,complete,12,YSO
DO Tau,69.61911689,26.18040767,YSO,0.978257179260254,0.9780965447425842,0.9704749584197998,0.9721393585205078,0.9709357023239136,0.96718430519104,0.99092298746109,0.9834356904029846,0.998356282711029,0.9474672675132751,1.0,1.0,12,complete,12,YSO
GM Aur,73.79575649,30.36649271,YSO,0.9765426516532898,0.9605310559272766,0.9733596444129944,0.9608780741691588,0.9684922099113464,0.983132779598236,0.941232681274414,0.9862464666366576,0.9566707611083984,0.9542295336723328,0.9934182167053224,0.9999194145202636,12,complete,12,YSO
V409 Tau,64.54492877,25.33260573,YSO,0.9805766940116882,0.9818763136863708,0.973632037639618,0.972970724105835,0.9224689602851868,0.9822942018508912,0.9733800888061525,0.9324570298194884,0.986375093460083,0.9408496618270874,1.0,0.9999984502792358,12,complete,12,YSO
V836 Tau,75.77749516,25.38877962,YSO,0.9812622666358948,0.9778197407722472,0.9724226593971252,0.9733490347862244,0.9718858003616332,0.9699004888534546,0.97306627035141,0.9904922842979432,0.956901788711548,0.989247977733612,1.0,1.0,12,complete,12,YSO
VY Tau,69.82258086,22.79815237,YSO,0.9794228672981262,0.9757422208786012,0.974406361579895,0.9723618030548096,0.9619330167770386,0.9214863181114196,0.8890643119812012,0.2753661572933197,0.7637556791305542,0.2040851712226867,0.9999938011169434,0.9998512268066406,12,complete,11,YSO
IQ Tau,67.46482066,26.11246103,YSO,0.9808221459388732,0.9821518659591676,0.9785232543945312,0.9701176285743712,0.9583611488342284,0.9845618605613708,0.9907082319259644,0.9950070381164552,0.9756382703781128,0.917299747467041,0.9999934434890748,1.0,12,complete,12,YSO
3C 273,187.27791594049,2.05238823055,non-YSO,0.0258026216179132,0.9156065583229064,0.3638110160827636,0.1375423073768615,0.9803490042686462,0.498164415359497,0.8776148557662964,0.6824432015419006,0.74595707654953,0.9591495990753174,0.99998939037323,0.8437642455101013,12,complete,9,YSO
3C 279,194.046527414917,-5.789312541944,non-YSO,0.0205894690006971,0.0310701038688421,0.0613772422075271,0.0581221878528595,0.0220522694289684,0.0916435495018959,0.0347526669502258,0.0266182627528905,0.0387998446822166,0.0237406529486179,5.2716884965775535e-05,1.6048431916715344e-08,12,complete,0,non-YSO
Mrk 421,166.11380868146,38.20883291552,non-YSO,0.5274090766906738,0.106263518333435,0.1970558017492294,0.9006131291389465,0.0089161656796932,0.3144207894802093,0.0665592029690742,0.1535251885652542,0.2188580781221389,0.2157903164625167,0.9294482469558716,3.826060947176302e-06,12,complete,4,non-YSO
Mrk 501,253.46756952,39.76016913,non-YSO,0.0431274026632308,0.0241178553551435,0.0590093471109867,0.0570973493158817,0.0217827353626489,0.0757945924997329,0.0582359842956066,0.0269425027072429,0.0543400645256042,0.0144813768565654,1.7864064394412793e-11,1.8865009110413666e-07,12,complete,0,non-YSO
BL Lac,330.68038064,42.27777206,non-YSO,0.0339647382497787,0.0371061041951179,0.0520648621022701,0.0980682149529457,0.94891619682312,0.1831435263156891,0.7572677135467529,0.6535122990608215,0.0758751332759857,0.4398329854011535,0.9963828325271606,2.744091034401208e-06,12,complete,5,non-YSO
OJ 287,133.70364577,20.108511,non-YSO,0.029140880331397,0.8802244663238525,0.057014737278223,0.0579819902777671,0.0295314583927392,0.0649750903248786,0.089972048997879,0.030947832390666,0.0340967774391174,0.0195841416716575,0.1109007969498634,0.9994377493858336,12,complete,2,non-YSO
3C 66A,35.66504782,43.03549987,non-YSO,0.0271076932549476,0.0263970606029033,0.0505654253065586,0.0574631579220294,0.0068647623993456,0.0874085649847984,0.0364340730011463,0.0242630876600742,0.1804875433444976,0.0071116648614406,7.635187593280081e-09,0.0054375161416828,12,complete,0,non-YSO
PKS 1510-089,228.21055388,-9.09995272,non-YSO,0.0202389247715473,0.0270962156355381,0.0470433421432971,0.0576174296438694,0.0290772505104541,0.0880441069602966,0.0301497969776392,0.0411997623741626,0.0417821183800697,0.0229561906307935,8.486567537602242e-08,0.3663679361343384,12,complete,0,non-YSO
W Comae,185.38204352,28.23291675,non-YSO,0.0086226211860775,0.0223680399358272,0.6949177384376526,0.0547512099146842,0.7903391122817993,0.964168131351471,0.3921144902706146,0.9364048838615416,0.8914201855659485,0.7023671269416809,8.057404920691624e-05,0.9998999834060668,12,complete,7,YSO
