source_id,ra,dec,reference_class
BP Tau,64.81597493,29.10747971,YSO
CI Tau,68.46672665,22.8416928,YSO
DL Tau,68.41281987,25.34391705,YSO
DR Tau,71.77589648,16.97855941,YSO
DN Tau,68.86407343,24.24969732,YSO
DO Tau,69.61911689,26.18040767,YSO
GM Aur,73.79575649,30.36649271,YSO
V409 Tau,64.54492877,25.33260573,YSO
V836 Tau,75.77749516,25.38877962,YSO
VY Tau,69.82258086,22.79815237,YSO
IQ Tau,67.46482066,26.11246103,YSO
3C 273,187.27791594049,2.05238823055,non-YSO
3C 279,194.046527414917,-5.789312541944,non-YSO
Mrk 421,166.11380868146,38.20883291552,non-YSO
Mrk 501,253.46756952,39.76016913,non-YSO
BL Lac,330.68038064,42.27777206,non-YSO
OJ 287,133.70364577,20.108511,non-YSO
3C 66A,35.66504782,43.03549987,non-YSO
PKS 1510-089,228.21055388,-9.09995272,non-YSO
W Comae,185.38204352,28.23291675,non-YSO
