source_id,band,oid,downloaded_points,usable_points,checked_utc,radius_arcsec,ra,dec,coordinate_reference,lightcurve_url
BP Tau,zg,609116200005610,423,411,2026-09-22,2.0,64.81597493,29.10747971,https://cds.unistra.fr/cgi-bin/nph-sesame/-oxp/S?BP%20Tau,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?ID=609116200005610&BAD_CATFLAGS_MASK=32768
CI Tau,zg,609103400002049,397,396,2026-09-22,2.0,68.46672665,22.8416928,https://cds.unistra.fr/cgi-bin/nph-sesame/-oxp/S?CI%20Tau,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?ID=609103400002049&BAD_CATFLAGS_MASK=32768
DL Tau,zg,609107100004790,409,409,2026-09-22,2.0,68.41281987,25.34391705,https://cds.unistra.fr/cgi-bin/nph-sesame/-oxp/S?DL%20Tau,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?ID=609107100004790&BAD_CATFLAGS_MASK=32768
DL Tau,zr,609207100007843,651,358,2026-09-22,2.0,68.41281987,25.34391705,https://cds.unistra.fr/cgi-bin/nph-sesame/-oxp/S?DL%20Tau,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?ID=609207100007843&BAD_CATFLAGS_MASK=32768
DR Tau,zg,1555111100001377,36,30,2026-09-22,2.0,71.77589648,16.97855941,https://cds.unistra.fr/cgi-bin/nph-sesame/-oxp/S?DR%20Tau,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?ID=1555111100001377&BAD_CATFLAGS_MASK=32768
DN Tau,zg,1605110100000532,71,71,2026-09-22,2.0,68.86407343,24.24969732,https://cds.unistra.fr/cgi-bin/nph-sesame/-oxp/S?DN%20Tau,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?ID=1605110100000532&BAD_CATFLAGS_MASK=32768
DO Tau,zg,1605114100000242,75,75,2026-09-22,2.0,69.61911689,26.18040767,https://cds.unistra.fr/cgi-bin/nph-sesame/-oxp/S?DO%20Tau,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?ID=1605114100000242&BAD_CATFLAGS_MASK=32768
DO Tau,zr,1654203400019190,134,93,2026-09-22,2.0,69.61911689,26.18040767,https://cds.unistra.fr/cgi-bin/nph-sesame/-oxp/S?DO%20Tau,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?ID=1654203400019190&BAD_CATFLAGS_MASK=32768
GM Aur,zg,657101300000613,418,411,2026-09-22,2.0,73.79575649,30.36649271,https://cds.unistra.fr/cgi-bin/nph-sesame/-oxp/S?GM%20Aur,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?ID=657101300000613&BAD_CATFLAGS_MASK=32768
V409 Tau,zg,608105100004267,421,421,2026-09-22,2.0,64.54492877,25.33260573,https://cds.unistra.fr/cgi-bin/nph-sesame/-oxp/S?V409%20Tau,https://irsa.ipac.caltech.edu/cgi-bin/ZTF/nph_light_curves?ID=608105100004267&BAD_CATFLAGS_MASK=32768
